7ugkA    0.9424 1.5500   1.0000 0.9855
7u07A    0.8595 2.1100   0.3730 0.9215
1xqoA    0.5702 3.3400   0.0870 0.6657
1xg7A    0.5374 3.4200   0.0950 0.6395
7ou3A    0.5373 3.7000   0.1280 0.6512
7oy7A    0.5308 3.5000   0.1050 0.6337
7ef8A    0.5159 3.7700   0.0900 0.6366
4uobA    0.5116 3.8200   0.1010 0.6337
7yhoA    0.5050 3.7700   0.0880 0.6163
3n5nX    0.4951 3.7000   0.0640 0.6076
1p59A    0.4916 3.0700   0.1240 0.5669
3fspA    0.4903 3.4800   0.1010 0.5930
1kqjA    0.4876 3.4600   0.1020 0.5901
1pu6A    0.4869 3.9700   0.1000 0.6105
4unfA    0.4812 3.6800   0.1000 0.6017
1keaA    0.4787 3.4300   0.0770 0.5756
3fhgA    0.4716 3.7500   0.1130 0.5756
3f10A    0.4575 3.4900   0.0820 0.5494
2jhnA    0.4550 3.6200   0.0720 0.5523
1ngnA    0.3187 3.9700   0.0760 0.3953
2abkA1   0.3006 2.3000   0.1490 0.3314
1lwwA2   0.2938 3.0900   0.1530 0.3430
2yg8A1   0.2852 2.8500   0.1060 0.3285
1dizA2   0.2699 2.9100   0.1390 0.3140
1jzsA2   0.2517 6.7600   0.0290 0.4331
3tqdA    0.2401 5.7100   0.0360 0.3576
3lduA    0.2345 7.2600   0.0610 0.4157
2fgcA    0.2055 4.7000   0.0540 0.2791
1we0A    0.1995 5.9300   0.0400 0.3052
3a5aA    0.1845 5.7000   0.0630 0.2820
3eeuA    0.1835 5.0100   0.0720 0.2587
2iyaA2   0.1767 5.4000   0.0400 0.2558
2f8zF1   0.1746 4.4700   0.0580 0.2326
1x51A    0.1693 5.6600   0.0620 0.2500
2ocxA2   0.1692 4.9300   0.0730 0.2355
3hx0A1   0.1662 3.8500   0.0480 0.2064
3s84A    0.1631 5.2800   0.0340 0.2209
1ccdA    0.1621 4.1400   0.0410 0.2064
2p03A2   0.1581 5.5200   0.0160 0.2267
1punA    0.1579 5.6100   0.0330 0.2384
3qfwA1   0.1445 3.7100   0.0600 0.1802
3zc0A2   0.1417 3.4900   0.0390 0.1686
1bdxA2   0.1390 4.3500   0.0640 0.1860
1ji0A2   0.1322 3.6100   0.0630 0.1628
