7ugkA    0.9662 1.0000   1.0000 0.9855
7u07A    0.8739 1.7900   0.3760 0.9186
1xqoA    0.5670 3.4400   0.0870 0.6657
1xg7A    0.5292 3.5400   0.0940 0.6366
7p8lA    0.5263 3.4700   0.1040 0.6279
7ou3A    0.5223 3.7300   0.1360 0.6424
7ef8A    0.5073 4.0100   0.0860 0.6366
4uobA    0.5053 3.8500   0.0840 0.6279
7yhoA    0.4977 3.8800   0.0840 0.6134
1p59A    0.4893 3.0400   0.1240 0.5669
3n5nX    0.4864 3.8400   0.0820 0.6047
1pu6A    0.4844 3.9400   0.0950 0.6076
1keaA    0.4673 3.6200   0.0770 0.5727
3f10A    0.4571 3.5300   0.0820 0.5494
1ngnA    0.3234 3.7800   0.0760 0.3953
4unfA2   0.3051 2.7900   0.1070 0.3517
2abkA1   0.3033 2.1800   0.1490 0.3314
3fspA1   0.2975 2.5800   0.0950 0.3372
1lwwA2   0.2945 3.0900   0.1360 0.3430
2yg8A1   0.2864 2.8200   0.0970 0.3285
1dizA2   0.2755 3.2300   0.1520 0.3256
3lduA    0.2447 6.7400   0.0680 0.4157
1kqjA1   0.2296 2.3600   0.1360 0.2558
2fgcA    0.2056 5.0300   0.0350 0.2907
2ocxA2   0.1692 5.1400   0.0490 0.2413
3s84A    0.1626 5.4800   0.0420 0.2238
1ccdA    0.1578 4.1900   0.0270 0.2035
2p03A2   0.1520 5.6200   0.0240 0.2151
1bdxA2   0.1441 4.5800   0.0430 0.1919
3zc0A2   0.1418 3.4700   0.0390 0.1686
3qfwA1   0.1348 4.0300   0.0740 0.1715
1ji0A2   0.1336 3.7400   0.0480 0.1657
