2xhiA    0.4673 3.7000   0.0780 0.5698 0.1624 : GO:0002526,GO:0003677,GO:0003684,GO:0003824,GO:0003906,GO:0004519,GO:0005634,GO:0005654,GO:0005739,GO:0006281,GO:0006284,GO:0006289,GO:0006355,GO:0006974,GO:0006979,GO:0007568,GO:0008017,GO:0008152,GO:0008534,GO:0009314,GO:0009416,GO:0016363,GO:0016607,GO:0016787,GO:0016798,GO:0016829,GO:0019104,GO:0032355,GO:0032357,GO:0033158,GO:0033683,GO:0034039,GO:0042493,GO:0043066,GO:0043234,GO:0045007,GO:0045008,GO:0045471,GO:0051593,GO:0071276,GO:1901291
3ogdA    0.4197 3.7300   0.0820 0.5174 0.1093 : GO:0003824,GO:0003905,GO:0005737,GO:0006281,GO:0006284,GO:0006307,GO:0006974,GO:0008725,GO:0016787,GO:0043916,GO:0052821,GO:0052822
4uobA    0.5116 3.8200   0.1010 0.6337 0.0979 : GO:0003824,GO:0004519,GO:0006281,GO:0006284,GO:0046872,GO:0051536,GO:0051539,GO:0090305
1ornA    0.4900 3.0600   0.1340 0.5669 0.0850 : 
1xqoA    0.5702 3.3400   0.0870 0.6657 0.0663 : GO:0000702,GO:0003824,GO:0003906,GO:0006281,GO:0006284,GO:0006974,GO:0016787,GO:0016799,GO:0016829
1xg7A    0.5374 3.4200   0.0950 0.6395 0.0657 : GO:0000702,GO:0003824,GO:0003906,GO:0006281,GO:0006284,GO:0006974,GO:0016787,GO:0016799,GO:0016829
3n5nY    0.4937 3.6900   0.0910 0.6047 0.0655 : GO:0003677,GO:0003824,GO:0005634,GO:0005654,GO:0005739,GO:0006281,GO:0006284,GO:0006298,GO:0006974,GO:0006979,GO:0008152,GO:0016787,GO:0016798,GO:0019104,GO:0032405,GO:0032406,GO:0032407,GO:0032408,GO:0045007,GO:0046872,GO:0051536,GO:0051539
1kg5A    0.4870 3.4800   0.1020 0.5901 0.0655 : GO:0003677,GO:0003824,GO:0006281,GO:0006284,GO:0006974,GO:0008152,GO:0016787,GO:0016798,GO:0019104,GO:0046872,GO:0051536,GO:0051539
1pu6A    0.4869 3.9700   0.1000 0.6105 0.0654 : GO:0003677,GO:0003824,GO:0004519,GO:0006281,GO:0006284,GO:0090305
2abkA    0.4817 3.0100   0.1040 0.5581 0.0654 : GO:0000703,GO:0003677,GO:0003824,GO:0003906,GO:0006281,GO:0006284,GO:0006285,GO:0006974,GO:0008152,GO:0016787,GO:0016798,GO:0016829,GO:0019104,GO:0034644,GO:0046872,GO:0051536,GO:0051539
4yprA    0.4965 3.4100   0.0960 0.5988 0.0653 : GO:0003677,GO:0003824,GO:0006281,GO:0006284,GO:0006974,GO:0008152,GO:0016787,GO:0016798,GO:0019104,GO:0046872,GO:0051536,GO:0051539
3s6iD    0.4870 3.2100   0.0820 0.5756 0.0653 : GO:0003684,GO:0003824,GO:0003905,GO:0005634,GO:0006281,GO:0006284,GO:0006285,GO:0006307,GO:0006974,GO:0008725,GO:0016787,GO:0032131,GO:0032993,GO:0043916,GO:0045007,GO:0052820,GO:0052821,GO:0052822
1keaA    0.4787 3.4300   0.0770 0.5756 0.0652 : GO:0003677,GO:0003824,GO:0003906,GO:0006281,GO:0006284,GO:0006974,GO:0008152,GO:0016787,GO:0016798,GO:0046872,GO:0051536,GO:0051539
4unfA    0.4812 3.6800   0.1000 0.6017 0.0652 : GO:0003824,GO:0003906,GO:0004519,GO:0006281,GO:0006284,GO:0006974,GO:0008152,GO:0016787,GO:0016798,GO:0046872,GO:0051536,GO:0051539,GO:0090305
3f10A    0.4575 3.4900   0.0820 0.5494 0.0651 : GO:0003684,GO:0003824,GO:0006281,GO:0006284,GO:0006289,GO:0008534
2yg8A    0.4323 3.6600   0.0970 0.5349 0.0649 : GO:0003824,GO:0006281,GO:0006284,GO:0008152,GO:0016798,GO:0019104
5e58C    0.3553 6.1800   0.0470 0.5640 0.0637 : GO:0004497,GO:0005506,GO:0016491,GO:0016705,GO:0016712,GO:0020037,GO:0046872,GO:0055114
4evvA    0.3190 3.4500   0.0760 0.3808 0.0635 : GO:0000785,GO:0003677,GO:0003824,GO:0005634,GO:0005654,GO:0005737,GO:0006281,GO:0006306,GO:0006974,GO:0007095,GO:0008263,GO:0008630,GO:0009314,GO:0016787
3lduA    0.2532 7.0100   0.0250 0.4535 0.0629 : GO:0000166,GO:0003676,GO:0003723,GO:0005525,GO:0008168,GO:0016740,GO:0032259
