7ugkA    0.9789 0.5600   1.0000 0.9855
7u07A    0.8717 1.8500   0.3790 0.9186
1xqoA    0.5605 3.4600   0.0870 0.6628
1xg7A    0.5232 3.5600   0.0940 0.6337
7p8lA    0.5231 3.5400   0.1040 0.6279
7ou3A    0.5171 3.8000   0.1320 0.6424
7ef8A    0.5045 4.0500   0.0860 0.6337
4uobA    0.5034 3.8100   0.0710 0.6250
7yhoA    0.4968 3.9600   0.0840 0.6163
1p59A    0.4850 3.0600   0.1290 0.5640
3n5nX    0.4842 3.9800   0.0780 0.6076
1pu6A    0.4841 3.9600   0.0950 0.6076
1keaA    0.4626 3.6400   0.0720 0.5698
3f10A    0.4542 3.3600   0.0690 0.5436
1ngnA    0.3211 3.7700   0.0760 0.3924
4unfA2   0.3047 2.8100   0.1070 0.3517
2abkA1   0.3031 2.1900   0.1490 0.3314
3fspA1   0.2972 2.5900   0.0950 0.3372
1lwwA2   0.2951 3.0600   0.1440 0.3430
2yg8A1   0.2857 2.8500   0.0970 0.3285
1dizA2   0.2755 3.2100   0.1520 0.3256
3lduA    0.2352 7.3800   0.0630 0.4273
1kqjA1   0.2295 2.3700   0.1360 0.2558
2fgcA    0.2055 5.0400   0.0350 0.2907
2ocxA2   0.1709 5.0300   0.0400 0.2413
3s84A    0.1634 5.3300   0.0420 0.2238
2p03A2   0.1529 5.5900   0.0320 0.2180
1ccdA    0.1504 3.9400   0.0270 0.1919
1bdxA2   0.1449 4.7800   0.0430 0.1977
3zc0A2   0.1431 3.8600   0.0510 0.1744
3qfwA1   0.1372 4.2500   0.0880 0.1773
1ji0A2   0.1331 3.8300   0.0480 0.1657
