1xqoA    0.5670 3.4400   0.0870 0.6657 0.1722 : GO:0000702,GO:0003824,GO:0003906,GO:0006281,GO:0006284,GO:0006974,GO:0016787,GO:0016799,GO:0016829
4uobA    0.5053 3.8500   0.0840 0.6279 0.1351 : GO:0003824,GO:0004519,GO:0006281,GO:0006284,GO:0046872,GO:0051536,GO:0051539,GO:0090305
3ogdA    0.4154 3.4500   0.1000 0.5029 0.1180 : GO:0003824,GO:0003905,GO:0005737,GO:0006281,GO:0006284,GO:0006307,GO:0006974,GO:0008725,GO:0016787,GO:0043916,GO:0052821,GO:0052822
1ornA    0.4876 3.0200   0.1290 0.5640 0.0844 : 
1kg5A    0.4770 3.6800   0.1070 0.5872 0.0715 : GO:0003677,GO:0003824,GO:0006281,GO:0006284,GO:0006974,GO:0008152,GO:0016787,GO:0016798,GO:0019104,GO:0046872,GO:0051536,GO:0051539
1xg7A    0.5292 3.5400   0.0940 0.6366 0.0656 : GO:0000702,GO:0003824,GO:0003906,GO:0006281,GO:0006284,GO:0006974,GO:0016787,GO:0016799,GO:0016829
3n5nY    0.4856 3.9400   0.0910 0.6076 0.0654 : GO:0003677,GO:0003824,GO:0005634,GO:0005654,GO:0005739,GO:0006281,GO:0006284,GO:0006298,GO:0006974,GO:0006979,GO:0008152,GO:0016787,GO:0016798,GO:0019104,GO:0032405,GO:0032406,GO:0032407,GO:0032408,GO:0045007,GO:0046872,GO:0051536,GO:0051539
1pu6A    0.4844 3.9400   0.0950 0.6076 0.0654 : GO:0003677,GO:0003824,GO:0004519,GO:0006281,GO:0006284,GO:0090305
2abkA    0.4740 3.0900   0.1140 0.5552 0.0654 : GO:0000703,GO:0003677,GO:0003824,GO:0003906,GO:0006281,GO:0006284,GO:0006285,GO:0006974,GO:0008152,GO:0016787,GO:0016798,GO:0016829,GO:0019104,GO:0034644,GO:0046872,GO:0051536,GO:0051539
3s6iD    0.4874 3.2500   0.0870 0.5756 0.0653 : GO:0003684,GO:0003824,GO:0003905,GO:0005634,GO:0006281,GO:0006284,GO:0006285,GO:0006307,GO:0006974,GO:0008725,GO:0016787,GO:0032131,GO:0032993,GO:0043916,GO:0045007,GO:0052820,GO:0052821,GO:0052822
4unfA    0.4717 3.9100   0.0900 0.6017 0.0651 : GO:0003824,GO:0003906,GO:0004519,GO:0006281,GO:0006284,GO:0006974,GO:0008152,GO:0016787,GO:0016798,GO:0046872,GO:0051536,GO:0051539,GO:0090305
1keaA    0.4673 3.6200   0.0770 0.5727 0.0651 : GO:0003677,GO:0003824,GO:0003906,GO:0006281,GO:0006284,GO:0006974,GO:0008152,GO:0016787,GO:0016798,GO:0046872,GO:0051536,GO:0051539
3f10A    0.4571 3.5300   0.0820 0.5494 0.0651 : GO:0003684,GO:0003824,GO:0006281,GO:0006284,GO:0006289,GO:0008534
2yg8A    0.4231 3.8600   0.0970 0.5320 0.0648 : GO:0003824,GO:0006281,GO:0006284,GO:0008152,GO:0016798,GO:0019104
4evvA    0.3281 3.8400   0.0690 0.4012 0.0636 : GO:0000785,GO:0003677,GO:0003824,GO:0005634,GO:0005654,GO:0005737,GO:0006281,GO:0006306,GO:0006974,GO:0007095,GO:0008263,GO:0008630,GO:0009314,GO:0016787
2z22A    0.2648 6.6300   0.0650 0.4448 0.0630 : GO:0006810,GO:0006817,GO:0035435,GO:0042301,GO:0043190
4lmoA    0.2690 5.7000   0.0420 0.4070 0.0628 : GO:0000333,GO:0000781,GO:0003677,GO:0003721,GO:0003723,GO:0003964,GO:0005634,GO:0005694,GO:0006278,GO:0016740,GO:0016779,GO:0022616,GO:0030529,GO:0046872
4yprA    0.4884 3.7100   0.0910 0.5988 0.0628 : GO:0003677,GO:0003824,GO:0006281,GO:0006284,GO:0006974,GO:0008152,GO:0016787,GO:0016798,GO:0019104,GO:0046872,GO:0051536,GO:0051539
2xhiA    0.4691 3.8000   0.0830 0.5698 0.0627 : GO:0002526,GO:0003677,GO:0003684,GO:0003824,GO:0003906,GO:0004519,GO:0005634,GO:0005654,GO:0005739,GO:0006281,GO:0006284,GO:0006289,GO:0006355,GO:0006974,GO:0006979,GO:0007568,GO:0008017,GO:0008152,GO:0008534,GO:0009314,GO:0009416,GO:0016363,GO:0016607,GO:0016787,GO:0016798,GO:0016829,GO:0019104,GO:0032355,GO:0032357,GO:0033158,GO:0033683,GO:0034039,GO:0042493,GO:0043066,GO:0043234,GO:0045007,GO:0045008,GO:0045471,GO:0051593,GO:0071276,GO:1901291
