1xqoA    0.5605 3.4600   0.0870 0.6628 0.1707 : GO:0000702,GO:0003824,GO:0003906,GO:0006281,GO:0006284,GO:0006974,GO:0016787,GO:0016799,GO:0016829
2xhiA    0.4687 3.4800   0.0840 0.5610 0.1588 : GO:0002526,GO:0003677,GO:0003684,GO:0003824,GO:0003906,GO:0004519,GO:0005634,GO:0005654,GO:0005739,GO:0006281,GO:0006284,GO:0006289,GO:0006355,GO:0006974,GO:0006979,GO:0007568,GO:0008017,GO:0008152,GO:0008534,GO:0009314,GO:0009416,GO:0016363,GO:0016607,GO:0016787,GO:0016798,GO:0016829,GO:0019104,GO:0032355,GO:0032357,GO:0033158,GO:0033683,GO:0034039,GO:0042493,GO:0043066,GO:0043234,GO:0045007,GO:0045008,GO:0045471,GO:0051593,GO:0071276,GO:1901291
3ogdA    0.4090 3.9400   0.0820 0.5145 0.1133 : GO:0003824,GO:0003905,GO:0005737,GO:0006281,GO:0006284,GO:0006307,GO:0006974,GO:0008725,GO:0016787,GO:0043916,GO:0052821,GO:0052822
1ornA    0.4841 2.9800   0.1240 0.5610 0.0800 : 
4uobA    0.5034 3.8100   0.0710 0.6250 0.0703 : GO:0003824,GO:0004519,GO:0006281,GO:0006284,GO:0046872,GO:0051536,GO:0051539,GO:0090305
1xg7A    0.5232 3.5600   0.0940 0.6337 0.0656 : GO:0000702,GO:0003824,GO:0003906,GO:0006281,GO:0006284,GO:0006974,GO:0016787,GO:0016799,GO:0016829
1pu6A    0.4841 3.9600   0.0950 0.6076 0.0654 : GO:0003677,GO:0003824,GO:0004519,GO:0006281,GO:0006284,GO:0090305
3n5nY    0.4830 3.9300   0.0780 0.6047 0.0654 : GO:0003677,GO:0003824,GO:0005634,GO:0005654,GO:0005739,GO:0006281,GO:0006284,GO:0006298,GO:0006974,GO:0006979,GO:0008152,GO:0016787,GO:0016798,GO:0019104,GO:0032405,GO:0032406,GO:0032407,GO:0032408,GO:0045007,GO:0046872,GO:0051536,GO:0051539
1kg5A    0.4779 3.7700   0.1070 0.5901 0.0654 : GO:0003677,GO:0003824,GO:0006281,GO:0006284,GO:0006974,GO:0008152,GO:0016787,GO:0016798,GO:0019104,GO:0046872,GO:0051536,GO:0051539
2abkA    0.4698 3.2600   0.1040 0.5581 0.0653 : GO:0000703,GO:0003677,GO:0003824,GO:0003906,GO:0006281,GO:0006284,GO:0006285,GO:0006974,GO:0008152,GO:0016787,GO:0016798,GO:0016829,GO:0019104,GO:0034644,GO:0046872,GO:0051536,GO:0051539
3s6iD    0.4848 3.2800   0.0720 0.5756 0.0653 : GO:0003684,GO:0003824,GO:0003905,GO:0005634,GO:0006281,GO:0006284,GO:0006285,GO:0006307,GO:0006974,GO:0008725,GO:0016787,GO:0032131,GO:0032993,GO:0043916,GO:0045007,GO:0052820,GO:0052821,GO:0052822
3f10A    0.4542 3.3600   0.0690 0.5436 0.0651 : GO:0003684,GO:0003824,GO:0006281,GO:0006284,GO:0006289,GO:0008534
1keaA    0.4626 3.6400   0.0720 0.5698 0.0651 : GO:0003677,GO:0003824,GO:0003906,GO:0006281,GO:0006284,GO:0006974,GO:0008152,GO:0016787,GO:0016798,GO:0046872,GO:0051536,GO:0051539
4unfA    0.4607 4.0000   0.0910 0.5988 0.0650 : GO:0003824,GO:0003906,GO:0004519,GO:0006281,GO:0006284,GO:0006974,GO:0008152,GO:0016787,GO:0016798,GO:0046872,GO:0051536,GO:0051539,GO:0090305
2yg8A    0.4167 4.0200   0.0970 0.5349 0.0648 : GO:0003824,GO:0006281,GO:0006284,GO:0008152,GO:0016798,GO:0019104
4evvA    0.3256 3.8400   0.0760 0.3983 0.0634 : GO:0000785,GO:0003677,GO:0003824,GO:0005634,GO:0005654,GO:0005737,GO:0006281,GO:0006306,GO:0006974,GO:0007095,GO:0008263,GO:0008630,GO:0009314,GO:0016787
2z22A    0.2563 6.5900   0.0600 0.4331 0.0630 : GO:0006810,GO:0006817,GO:0035435,GO:0042301,GO:0043190
4lmoA    0.2701 5.7600   0.0420 0.4099 0.0629 : GO:0000333,GO:0000781,GO:0003677,GO:0003721,GO:0003723,GO:0003964,GO:0005634,GO:0005694,GO:0006278,GO:0016740,GO:0016779,GO:0022616,GO:0030529,GO:0046872
4yprA    0.4873 3.6900   0.1000 0.5988 0.0628 : GO:0003677,GO:0003824,GO:0006281,GO:0006284,GO:0006974,GO:0008152,GO:0016787,GO:0016798,GO:0019104,GO:0046872,GO:0051536,GO:0051539
